service_day,bus_id,farebox,apc
08/18/25,1109,412,20
08/18/25,1114,167,4
08/18/25,1501,345,408
08/18/25,1601,295,159
08/18/25,1603,226,221
08/18/25,1801,28,0
08/18/25,1803,163,81
08/18/25,1805,735,540
08/18/25,1807,47,33
08/18/25,1808,276,314
08/18/25,1810,342,267
08/18/25,1811,4,0
08/18/25,1901,208,160
08/18/25,1902,170,89
08/18/25,1903,395,257
08/18/25,1905,161,143
08/18/25,1907,198,139
08/18/25,1909,187,119
08/18/25,1911,403,493
08/18/25,1912,13,74
08/18/25,2101,93,63
08/18/25,2102,437,354
08/18/25,2501,448,289
08/18/25,2502,156,86
08/18/25,2503,313,283
08/18/25,2504,230,215
08/18/25,2505,347,79
08/18/25,5503,211,0
08/19/25,0,42,0
08/19/25,1109,468,48
08/19/25,1113,0,2
08/19/25,1114,741,23
08/19/25,1501,244,241
08/19/25,1601,418,477
08/19/25,1603,237,252
08/19/25,1803,6,7
08/19/25,1805,485,324
08/19/25,1807,65,63
08/19/25,1808,176,204
08/19/25,1810,356,403
08/19/25,1811,230,246
08/19/25,1901,245,292
08/19/25,1902,940,991
08/19/25,1903,469,579
08/19/25,1905,278,361
08/19/25,1907,286,324
08/19/25,1909,103,159
08/19/25,1911,68,128
08/19/25,1912,34,67
08/19/25,2101,332,504
08/19/25,2102,576,552
08/19/25,2501,200,248
08/19/25,2502,226,241
08/19/25,2503,654,754
08/19/25,2504,199,215
08/19/25,2505,304,108
08/19/25,5503,363,0
08/20/25,0,42,0
08/20/25,1109,485,43
08/20/25,1113,0,3
08/20/25,1114,597,30
08/20/25,1501,123,556
08/20/25,1601,353,381
08/20/25,1603,243,300
08/20/25,1803,453,457
08/20/25,1805,257,311
08/20/25,1806,5,7
08/20/25,1807,97,45
08/20/25,1808,336,370
08/20/25,1810,313,331
08/20/25,1901,192,254
08/20/25,1902,413,401
08/20/25,1903,336,288
08/20/25,1905,176,182
08/20/25,1907,1104,1167
08/20/25,1909,232,297
08/20/25,1911,112,117
08/20/25,1912,49,84
08/20/25,2101,111,103
08/20/25,2102,244,298
08/20/25,2501,451,459
08/20/25,2502,379,364
08/20/25,2503,308,318
08/20/25,2504,354,338
08/20/25,2505,1434,567
08/20/25,5503,1209,0
08/21/25,1109,546,46
08/21/25,1111,232,224
08/21/25,1114,550,62
08/21/25,1501,200,247
08/21/25,1601,880,934
