vehicle,time,lat,long,Server_Time,Route,Trip,Inbound_Outbound,Stop_Name,Stop_Id,timestamp,uuid,ts,bus,trk2,text,description,media_text,dropfile_id,fob,rule,parameter,date
2101,2025-06-26 16:51:21,42.446333,-76.482722,2025-06-26 16:51:23.163,36,1635,7,Undefined,0,2025-06-26 16:51:06,1c523eba-f999-4dd2-93d9-9fcba388feb5,2025-06-26 16:51:06,2101,255100033577071,Special card,Cornell Card,Cornell,255100033577071,278545,TOM,FACULTY/STAFF,2025-06-26
2101,2025-06-26 16:52:55,42.450336,-76.482898,2025-06-26 16:52:57.620,36,1635,7,Rockefeller Hal,1525,2025-06-26 16:52:27,87427a31-d538-4d54-a206-c9d00a96fc5d,2025-06-26 16:52:27,2101,255100054912371,Special card,Cornell Card,Cornell,255100054912371,349829,TOM,STUDENT OMNIRIDE,2025-06-26
2101,2025-06-26 16:52:55,42.450336,-76.482898,2025-06-26 16:52:57.620,36,1635,7,Rockefeller Hal,1525,2025-06-26 16:52:30,8b60432b-6acd-4405-8a21-89a4c87cc6fb,2025-06-26 16:52:30,2101,255100054875231,Special card,Cornell Card,Cornell,255100054875231,317430,TOM,FACULTY/STAFF,2025-06-26
2101,2025-06-26 16:52:55,42.450336,-76.482898,2025-06-26 16:52:57.620,36,1635,7,Rockefeller Hal,1525,2025-06-26 16:52:32,77d67f68-b3fd-4e83-a3d6-ab687a03cb24,2025-06-26 16:52:32,2101,255100048327792,Special card,Cornell Card,Cornell,255100048327792,305839,TOM,FACULTY/STAFF,2025-06-26
2101,2025-06-26 17:28:30,42.525871,-76.491866,2025-06-26 17:28:31.953,36,1711,3,Triphammer @ As,3314,2025-06-26 17:28:10,619089b2-4d61-49b2-ab74-2ea1a97c9b8e,2025-06-26 17:28:10,2101,255100012946092,Special card,Cornell Card,Cornell,255100012946092,334923,TOM,FACULTY/STAFF,2025-06-26
2101,2025-06-26 17:50:43,42.445192,-76.483324,2025-06-26 17:50:45.460,30,1730,3,Sage Hall,1534,2025-06-26 17:49:34,c4b9bfb9-61d6-4ac2-8f9f-b4114dde9807,2025-06-26 17:49:34,2101,255100056759001,Special card,Cornell Card,Cornell,255100056759001,370935,TOM,STUDENT OMNI NEW,2025-06-26
2101,2025-06-26 17:50:43,42.445192,-76.483324,2025-06-26 17:50:45.460,30,1730,3,Sage Hall,1534,2025-06-26 17:49:37,0e6b948b-8d3d-49d8-9a16-6ba73ef54f5c,2025-06-26 17:49:37,2101,255100057057221,Special card,Cornell Card,Cornell,255100057057221,372597,TOM,STUDENT OMNI NEW,2025-06-26
2101,2025-06-26 18:13:45,42.438732,-76.496102,2025-06-26 18:13:46.897,11,1808,7,Green Commons,165,2025-06-26 18:05:29,cf884752-5b39-4a88-836e-c1482af4430d,2025-06-26 18:05:29,2101,255100053614061,Special card,Cornell Card,Cornell,255100053614061,326807,TOM,STUDENT OMNIRIDE,2025-06-26
2101,2025-06-26 18:17:39,42.439068,-76.495398,2025-06-26 18:17:40.977,11,1808,7,Aurora Commons,172,2025-06-26 18:17:10,26dbb292-b816-4a88-af26-c294f4aff76b,2025-06-26 18:17:10,2101,255100056318321,Special card,Cornell Card,Cornell,255100056318321,350271,TOM,STUDENT OMNI NEW,2025-06-26
2101,2025-06-26 19:09:46,42.439020,-76.501712,2025-06-26 19:09:48.860,11,1827,3,Albany at Salva,112,2025-06-26 19:08:15,bb8f2b73-c947-4ce3-9e07-508103f2a6ae,2025-06-26 19:08:15,2101,255100056388551,Special card,Cornell Card,Cornell,255100056388551,377468,TOM,STUDENT OMNI NEW,2025-06-26
